labor_id,project_id,trade,hours,rate,date
L-1000,OG-1023,Instrumentation Tech,44.6,132.54,2024-04-11
L-1001,OG-1045,Instrumentation Tech,149.91,148.66,2024-12-09
L-1002,OG-1041,Saftey Inspector,9.81,130.8,2023-11-01
L-1003,OG-1019,Drilling Engineer,225.83,59.1,2024-08-04
L-1004,OG-1007,Drilling Engineer,180.24,61.32,2025-02-27
L-1005,OG-1018,Saftey Inspector,56.87,81.0,2023-04-07
L-1006,OG-1043,Instrumentation Tech,125.25,71.37,2024-03-18
L-1007,OG-1003,Drilling Engineer,155.15,132.08,2025-02-09
L-1008,OG-1002,Drilling Engineer,85.39,58.74,2024-05-18
L-1009,OG-1016,Pipeline Welder,179.97,102.93,2023-11-21
L-1010,OG-1027,Saftey Inspector,10.24,52.9,2025-09-10
L-1011,OG-1044,Pipeline Welder,134.58,132.63,2023-11-15
L-1012,OG-1037,Saftey Inspector,42.36,58.38,2023-09-29
L-1013,OG-1019,Instrumentation Tech,216.56,128.59,2025-11-05
L-1014,OG-1002,Instrumentation Tech,56.74,71.2,2025-01-30
L-1015,OG-1006,Instrumentation Tech,188.99,137.83,2024-06-21
L-1016,OG-1026,Saftey Inspector,181.88,142.21,2024-05-22
L-1017,OG-1015,Pipeline Welder,234.48,130.13,2024-10-03
L-1018,OG-1026,Drilling Engineer,49.61,142.07,2025-05-28
L-1019,OG-1026,Pipeline Welder,69.9,127.67,2024-11-02
L-1020,OG-1006,Heavy Equipment Operator,210.34,135.15,2024-11-16
L-1021,OG-1014,Pipeline Welder,197.45,93.33,2024-11-16
L-1022,OG-1019,Pipeline Welder,59.72,114.3,2025-03-21
L-1023,OG-1025,Instrumentation Tech,72.64,52.29,2023-10-10
L-1024,OG-1049,Instrumentation Tech,89.47,98.49,2025-10-09
L-1025,OG-1043,Saftey Inspector,84.83,47.9,2025-06-19
L-1026,OG-1016,Pipeline Welder,142.7,148.27,2024-12-15
L-1027,OG-1002,Drilling Engineer,146.4,81.3,2023-03-31
L-1028,OG-1020,Heavy Equipment Operator,148.64,98.7,2025-08-04
L-1029,OG-1024,Saftey Inspector,52.1,49.66,2024-10-23
L-1030,OG-1027,Drilling Engineer,128.62,129.68,2025-10-13
L-1031,OG-1043,Pipeline Welder,92.5,52.35,2024-09-26
L-1032,OG-1042,Instrumentation Tech,152.57,114.66,2025-02-03
L-1033,OG-1007,Instrumentation Tech,125.65,115.02,2023-06-01
