material_id,project_id,material_type,quantity,unit_cost,date
M-1000,OG-1005,Cement,279.9,6452.76,2023-08-20
M-1001,OG-1021,Drilling Fluid,335.39,8298.14,2024-11-17
M-1002,OG-1047,Safety Equipment,47.63,6721.04,2025-02-17
M-1003,OG-1032,Cement,10.1,3123.22,2025-09-16
M-1004,OG-1013,Cement,473.89,4888.4,2025-11-24
M-1005,OG-1014,Drilling Fluid,78.32,2993.13,2024-11-18
M-1006,OG-1006,Safety Equipment,385.67,8359.44,2024-07-24
M-1007,OG-1033,Steel Pipe,331.3,8770.11,2025-09-28
M-1008,OG-1039,Drilling Fluid,299.03,1584.81,2026-02-14
M-1009,OG-1011,Safety Equipment,404.71,1697.11,2025-06-03
M-1010,OG-1028,Steel Pipe,206.02,6779.81,2024-08-01
M-1011,OG-1015,Valve Assembly,305.69,7536.29,2023-09-29
M-1012,OG-1028,Drilling Fluid,267.47,3129.21,2025-07-09
M-1013,OG-1030,Drilling Fluid,184.55,9473.95,2023-05-16
M-1014,OG-1028,Valve Assembly,384.95,7792.33,2023-07-25
M-1015,OG-1032,Safety Equipment,209.91,1662.48,2023-03-18
M-1016,OG-1012,Safety Equipment,70.06,2537.53,2026-01-07
M-1017,OG-1041,Valve Assembly,437.18,5567.68,2024-04-19
M-1018,OG-1006,Safety Equipment,425.73,2886.38,2024-05-26
M-1019,OG-1048,Drilling Fluid,137.12,9057.8,2025-06-03
M-1020,OG-1009,Valve Assembly,46.77,9109.52,2026-02-16
M-1021,OG-1028,Cement,465.31,4178.22,2024-05-05
M-1022,OG-1025,Safety Equipment,187.61,3892.35,2023-08-19
M-1023,OG-1005,Cement,113.04,3220.91,2025-07-15
M-1024,OG-1006,Cement,395.9,1419.12,2025-02-08
M-1025,OG-1018,Valve Assembly,348.34,1430.99,2023-04-20
M-1026,OG-1045,Valve Assembly,224.85,102.25,2023-08-07
M-1027,OG-1005,Steel Pipe,128.71,8357.88,2025-05-19
M-1028,OG-1035,Safety Equipment,264.36,1156.31,2025-05-23
M-1029,OG-1018,Drilling Fluid,151.27,525.11,2024-12-15
M-1030,OG-1026,Safety Equipment,229.1,1153.04,2025-10-31
M-1031,OG-1031,Safety Equipment,268.49,6337.95,2024-08-23
M-1032,OG-1036,Drilling Fluid,359.55,2948.16,2024-12-26
M-1033,OG-1000,Safety Equipment,177.06,5728.1,2024-01-29
M-1034,OG-1011,Steel Pipe,262.22,3638.01,2025-03-12
M-1035,OG-1033,Safety Equipment,254.16,9883.9,2023-07-13
M-1036,OG-1035,Steel Pipe,195.84,4727.84,2025-10-12
M-1037,OG-1040,Valve Assembly,490.54,2573.82,2023-06-21
M-1038,OG-1001,Cement,394.47,3480.78,2023-07-02
M-1039,OG-1046,Steel Pipe,385.98,7365.11,2023-05-07
M-1040,OG-1021,Drilling Fluid,23.12,5482.84,2023-10-25
M-1041,OG-1041,Drilling Fluid,415.36,6862.59,2024-04-03
M-1042,OG-1044,Valve Assembly,316.24,8124.4,2024-03-17
M-1043,OG-1004,Valve Assembly,19.45,2055.83,2023-09-24
M-1044,OG-1012,Steel Pipe,158.48,3135.26,2024-02-17
M-1045,OG-1025,Safety Equipment,237.23,414.38,2023-06-13
M-1046,OG-1041,Drilling Fluid,143.77,8628.28,2023-08-12
M-1047,OG-1003,Cement,137.34,8003.46,2023-09-15
M-1048,OG-1027,Valve Assembly,371.91,8951.64,2024-07-31
M-1049,OG-1024,Cement,486.89,4987.22,2025-05-07
M-1050,OG-1031,Cement,462.23,5216.79,2024-08-09
M-1051,OG-1005,Valve Assembly,40.38,6044.41,2026-01-24
M-1052,OG-1011,Safety Equipment,147.59,1070.85,2024-11-30
M-1053,OG-1020,Cement,153.94,6046.09,2025-01-07
M-1054,OG-1027,Drilling Fluid,345.19,3547.89,2024-09-13
M-1055,OG-1002,Cement,307.81,4377.66,2024-11-06
M-1056,OG-1040,Steel Pipe,38.45,6393.25,2024-09-17
M-1057,OG-1023,Safety Equipment,400.75,6810.14,2025-02-12
M-1058,OG-1001,Drilling Fluid,424.49,6796.98,2023-04-13
M-1059,OG-1028,Steel Pipe,63.99,2398.15,2026-01-18
M-1060,OG-1041,Cement,181.71,9497.2,2024-04-06
M-1061,OG-1002,Safety Equipment,77.57,4526.73,2024-04-28
M-1062,OG-1023,Cement,222.53,815.01,2025-05-18
M-1063,OG-1008,Safety Equipment,184.11,3178.14,2024-03-11
M-1064,OG-1017,Drilling Fluid,480.3,307.84,2025-01-03
M-1065,OG-1011,Valve Assembly,259.35,9139.75,2024-01-26
M-1066,OG-1007,Cement,387.71,7055.18,2024-09-22
M-1067,OG-1013,Safety Equipment,143.5,9168.97,2023-03-20
M-1068,OG-1031,Drilling Fluid,62.2,8535.62,2025-10-24
M-1069,OG-1028,Drilling Fluid,449.44,4478.86,2023-12-05
M-1070,OG-1005,Cement,334.25,7109.93,2023-12-21
M-1071,OG-1035,Safety Equipment,145.89,3034.57,2024-04-24
M-1072,OG-1010,Drilling Fluid,397.05,5112.12,2024-04-24
M-1073,OG-1007,Drilling Fluid,396.24,2405.53,2023-11-21
M-1074,OG-1031,Steel Pipe,181.09,5744.16,2024-02-28
M-1075,OG-1029,Safety Equipment,65.76,8848.25,2025-09-16
M-1076,OG-1004,Cement,199.68,7183.49,2025-08-23
M-1077,OG-1030,Safety Equipment,205.99,4123.86,2025-10-23
M-1078,OG-1036,Steel Pipe,63.54,3204.43,2023-09-23
M-1079,OG-1004,Valve Assembly,233.45,5197.73,2024-07-06
M-1080,OG-1008,Safety Equipment,320.26,1860.53,2024-02-16
M-1081,OG-1008,Valve Assembly,251.93,8688.71,2025-01-16
M-1082,OG-1007,Safety Equipment,77.35,1688.34,2024-02-19
M-1083,OG-1020,Drilling Fluid,173.67,9412.0,2024-03-14
M-1084,OG-1018,Steel Pipe,126.05,6368.82,2026-03-02
M-1085,OG-1035,Cement,63.46,3063.1,2024-09-03
M-1086,OG-1034,Steel Pipe,251.78,1727.93,2024-09-17
M-1087,OG-1037,Drilling Fluid,86.43,6263.57,2025-08-09
M-1088,OG-1038,Cement,421.42,5658.0,2025-06-14
M-1089,OG-1001,Steel Pipe,23.69,6432.46,2025-05-30
M-1090,OG-1036,Cement,325.91,7681.24,2025-12-07
M-1091,OG-1026,Safety Equipment,319.86,5005.48,2023-09-29
M-1092,OG-1040,Safety Equipment,145.55,9568.67,2026-01-05
M-1093,OG-1030,Drilling Fluid,402.54,6865.66,2024-05-08
M-1094,OG-1019,Valve Assembly,37.41,646.13,2025-12-10
M-1095,OG-1028,Valve Assembly,242.64,2080.03,2025-02-01
M-1096,OG-1038,Drilling Fluid,156.98,7197.71,2025-06-30
M-1097,OG-1046,Cement,487.71,1351.12,2024-05-16
M-1098,OG-1023,Safety Equipment,281.26,3225.2,2025-06-22
M-1099,OG-1029,Steel Pipe,134.47,2516.79,2025-12-10
M-1100,OG-1006,Steel Pipe,145.82,3872.29,2025-01-05
M-1101,OG-1039,Valve Assembly,124.89,8659.81,2023-07-06
M-1102,OG-1010,Cement,466.94,7225.23,2025-04-28
M-1103,OG-1012,Drilling Fluid,249.63,5171.51,2025-01-25
M-1104,OG-1031,Cement,249.19,945.99,2025-04-09
M-1105,OG-1025,Safety Equipment,229.16,2445.25,2025-01-05
M-1106,OG-1037,Cement,25.28,2849.5,2024-01-21
M-1107,OG-1038,Valve Assembly,143.59,131.37,2023-04-01
M-1108,OG-1006,Valve Assembly,67.83,2681.51,2024-10-06
