milestone_id,project_id,milestone,planned_date,actual_date,slippage_days
MS-1000,OG-1027,Site Preparation,9/7/2023,9/24/2023,17
MS-1001,OG-1000,Site Preparation,2/23/2026,2/27/2026,4
MS-1002,OG-1016,Equipment Mobilization,7/7/2023,7/27/2023,20
MS-1003,OG-1032,Project Closeout,6/3/2024,7/11/2024,38
MS-1004,OG-1035,Project Closeout,8/13/2023,8/15/2023,2
MS-1005,OG-1044,Project Closeout,3/13/2024,3/15/2024,2
MS-1006,OG-1014,Quality Inspection,12/15/2024,1/24/2025,40
MS-1007,OG-1023,Quality Inspection,11/4/2023,11/27/2023,23
MS-1008,OG-1029,Project Closeout,1/12/2025,1/10/2025,-2
MS-1009,OG-1044,Project Closeout,8/18/2025,9/5/2025,18
MS-1010,OG-1009,Primary Operations,5/28/2023,5/26/2023,-2
MS-1011,OG-1001,Quality Inspection,9/16/2025,9/14/2025,-2
MS-1012,OG-1006,Primary Operations,11/27/2024,12/9/2024,12
MS-1013,OG-1026,Site Preparation,3/29/2023,2/24/2023,-33
MS-1014,OG-1007,Equipment Mobilization,10/17/2024,9/18/2024,-29
MS-1015,OG-1022,Primary Operations,10/14/2024,10/10/2024,-4
MS-1016,OG-1021,Quality Inspection,7/5/2023,6/21/2023,-14
MS-1017,OG-1013,Project Closeout,10/13/2025,10/26/2025,13
MS-1018,OG-1030,Primary Operations,8/24/2023,8/12/2023,-12
MS-1019,OG-1030,Site Preparation,8/10/2024,7/19/2024,-22
MS-1020,OG-1028,Quality Inspection,12/24/2024,1/30/2025,37
MS-1021,OG-1020,Site Preparation,11/24/2024,11/26/2024,2
MS-1022,OG-1019,Site Preparation,5/30/2023,6/7/2023,8
MS-1023,OG-1045,Site Preparation,3/10/2026,2/16/2026,-22
MS-1024,OG-1001,Primary Operations,5/24/2023,5/20/2023,-4
MS-1025,OG-1041,Site Preparation,1/29/2024,2/7/2024,9
MS-1026,OG-1043,Equipment Mobilization,7/31/2024,7/14/2024,-17
MS-1027,OG-1047,Equipment Mobilization,9/19/2025,10/3/2025,14
MS-1028,OG-1033,Equipment Mobilization,8/1/2023,7/27/2023,-5
MS-1029,OG-1035,Equipment Mobilization,8/26/2025,8/26/2025,0
MS-1030,OG-1021,Project Closeout,12/26/2025,12/21/2025,-5
MS-1031,OG-1027,Quality Inspection,8/9/2025,9/23/2025,45
MS-1032,OG-1014,Quality Inspection,2/19/2024,2/25/2024,6
MS-1033,OG-1040,Equipment Mobilization,12/14/2024,11/29/2024,-15
MS-1034,OG-1011,Quality Inspection,7/2/2023,7/26/2023,24
MS-1035,OG-1025,Site Preparation,5/5/2023,4/17/2023,-18
MS-1036,OG-1047,Project Closeout,9/4/2025,9/15/2025,11
MS-1037,OG-1012,Quality Inspection,7/6/2024,6/2/2024,-34
MS-1038,OG-1037,Quality Inspection,8/12/2023,7/23/2023,-20
MS-1039,OG-1024,Site Preparation,1/29/2025,2/9/2025,11
MS-1040,OG-1045,Equipment Mobilization,7/11/2023,8/2/2023,22
MS-1041,OG-1013,Primary Operations,5/21/2023,5/31/2023,10
MS-1042,OG-1048,Site Preparation,5/20/2024,5/24/2024,4
MS-1043,OG-1036,Site Preparation,4/22/2023,4/22/2023,0
MS-1044,OG-1034,Equipment Mobilization,9/27/2025,9/3/2025,-24
MS-1045,OG-1023,Primary Operations,7/2/2023,6/24/2023,-8
MS-1046,OG-1012,Quality Inspection,12/25/2024,12/23/2024,-2
MS-1047,OG-1007,Primary Operations,8/5/2024,9/3/2024,29
MS-1048,OG-1042,Quality Inspection,10/9/2024,10/23/2024,14
MS-1049,OG-1033,Primary Operations,10/21/2024,9/21/2024,-30
MS-1050,OG-1038,Quality Inspection,11/3/2024,11/16/2024,13
MS-1051,OG-1039,Quality Inspection,2/14/2024,2/13/2024,-1
MS-1052,OG-1037,Site Preparation,6/18/2025,6/11/2025,-7
MS-1053,OG-1022,Primary Operations,12/8/2023,12/27/2023,19
MS-1054,OG-1029,Project Closeout,7/28/2025,8/25/2025,28
MS-1055,OG-1011,Primary Operations,11/11/2025,12/7/2025,26
MS-1056,OG-1039,Project Closeout,5/7/2024,4/27/2024,-10
